address,amount
0xa9F8F9C0bf3188cEDdb9684ae28655187552bAE9,840000
0xA1F74287ECFD4004233aAdEFDFa77797Be4f8e2c,44500
0x413D3b4c8374Bc4c32A07cdc697d63FF3302143c,159840
0x6BD5fA7C58b27502b07d2F0FAcf43d47AB47c448,242340
0xaF4c6932C8C891447bFe5c6f7ca9c3a86447c9fE,41480
0x0D6ED0f454104aB019389baCb3AD6CBd6ca83234,263690
0xBffE26e1A4438717Aa5420d3626Ec6CfD5AA5e7D,50650
0x163A72152EE855Af00F8F3De9EFb886D3Fc32340,154460
0x2C10BA9d3A8b7D1F210F94dbe666Cbd0D52BBE2e,68410
0x5059231a9141c08811e4033a93E18721AaaE30B2,130740
0xb9871963eE186FF20dddAEB8495D36A05e5803e7,156180
0x32256f7cba02b42EB31A7C6a680885559B3Ef5f0,26640
0xd020E81568594bF69E758024334BD71eba0236f8,81130
0x8965c61f9a4Db7b09938e1660FDC499aa003F6E8,79560
0x7744F0a68aABa346d399Db135285D774E6F4e5C8,52190
0xaBf5191f5a64449c13e191bf20C6D8C3B240414e,122910
0xc725aEda1269352Aa57a508Cf16831007F72295B,299980
0x0fEA1A409654683f1CDdD022681f0FEE8a7896E9,147080
0x1280AeDA079Ba93437EE503c927070F83933393f,21060
0x170790ED1Ac7f1c91Fa22835A8243C53067c7bBF,269290
0xDe96c9A63EC24c9BB42630EdFD1dC7c95589a671,145100
0xc5FEC716f36c1cC56A35DB5A71CA0BD02F5d856c,247060
0xBC27B0512adBf438344130e60c68C8E6a1d36616,254930
0x63876AF1DfFaF8436d621fE33188bE23e76792e4,97280
0x140B532766ae8aA4176Df15D9E78cF6Da249803f,43970
0x0b829db14c405797f5d21eB2Ae7221026d12C44d,21770
0xf5Ac0BB09961AF406Fff206829Db91e98AA6125b,288830
0x28047bB5149Fc0980C7b050cb523A11E7dbda7F0,8900
0xa2b322769950B3cfb241479f8cd33BeC9152e3Eb,93330
0xE1a274D10A31aEda099BBA1400829940f75e5D4f,275530
0x9B66738393c3333B97794012Ee710EAF24dfF287,287510
0x8D44ADAa60FBA1b85C1D9b441053CA98fC6350e3,112920
0x17d988000A4b58bd12F65B2BAb9648FF66fE1f0d,14970
0x8d81DbEbE706Ac22b2A89fb1930e03e7958b33a8,107710
0x1094014Bc36Cc78652a77Dd4BA988f09A8c033d2,148770
0x9a9493520f84DD64BD21B08c78f183BDa75FEC61,286780
0x1a7796F2e5A9cc8c65888724a4d0C4602604376B,271340
0xf06C578312667879eD4E3199A776447C801b62a6,276770
0x4cd27CBEFA89B6AE33E31fB71C180ed2e07924C4,68140
